title,content
MPAcc应该如何择校？,本科双非，一战 985 上岸，答主想说：考研择校首先要找到能力与野心之间的平衡，这是择校的总方针、总原则。要搞清楚自己的能力有多大，野心有多大，梦想有多大。 如果没有明确自己的能力与野心，面对着不少量可选择的学校，东南西北的城市可供挑选，真是挑花了眼。尤其是天坑专业的同学，还要犹豫是否要跨考金融计算机，去体验一把极度内卷的酸楚。 六条准则，轻松搞定考研目标院校。 总的原则就一句话： 选择力所能及最好的学…​
中国海洋大学金融专硕性价比高不高啊，考研学校没有目标，我拿不定主意啊？,本人是 22 级中国海洋大学金融专硕上岸的考生，成绩单如下图。当初选择中海洋也是看重 985 和不考数三这两点。 说实话，很多人包括我自己，考研也是为了找份好工作。那我在综合衡量自己的数学水平、备考时间，以及未来就业地之后，选择了中海洋，目前体感还不错啦。 为了更好的帮助学弟学妹们，在这里享一些中海洋金专考试的经验。 [] 目录 一、关于择校 二、中国海洋大学金融专硕考情析 三、396 数学部经验享 四、396 逻…​
考研之冷门大科，地理科学，究竟该选择哪所院校？,学长作为考研过来人给你一些建议。 建议大家可以都看看此文，相信会对大家考研择校时有一定的帮助！ 22 考研国家线刷新了我们的认知，网上高遍地走，考研已经卷的我们麻木了。23 考研人数直逼 500 万，竞争只会更加惨烈，现在要想顺利上岸，绝不是光凭曾经的努力就可以了！ 在考研如此竞争的情况下，为了不浪费一年的复习时间，我们一定要选一个适合自己目标的院校，同时避开那些黑名单院校，保证在择校上先人一步。 俗话说，…​
大一就开始准备考研，合适吗？,大一就准备考研的人很多，只是咱们身边的案例太少。因为目标坚定，我考研时 自律能力惊人，每天高效学习 8-10h，一战考取985研究生。这篇对大学生考研的建议， 详细到每个步骤，可复用性强，非鸡汤。本文目标就是让本科背景普通的同学，找到考研复习快车道，少踩坑，实现弯道超车，获得相对较高的投资回报率。吸收本文方法论后，你会发现启动「考研」，真的很简单。本文目录——大一考研五大管理：一、考研目标——科学择校择专…​
一战考研失败，大四下学期该做什么？,强烈不建议在职考研，因为太难成功！你以为的在职考研：白天轻松完成工作，下午5:30准时下班，回家后好好学个5小时！ 实际上的在职考研：白天被各种PUA，上下班通勤1小时，回到家后只想沙发上葛优躺！学习这件事需要高度集中注意力，神去搞其他的真心很难！不说考研，很多工作的同学想下班后考个证都很难！ 同时，看到你说你一定要读研！那么，无论如何不建议你在家复习，要么问父母借个2万块钱， 要么大四下自己辛苦三四个月…​
本人现在大三，近期确定考研了，请问我应该怎么准备？,不要听一些人这个问题下的人给你瞎掰，考研是自己的事情，尽可能的准备充，不要去博概率。本科双非，一战上岸985，这绝对是你见过最全的保姆级考研流程了，全文全文1.9万字，耗时2个月完成！我花了很长时间来重新系统的总结了整个备考上岸的过程，把我的经验全部整理出来，希望对你有用！ 记住，对于考研这件事，准备的越充越好，不要嫌准备的早了，准备的越早，后期你会更淡定！看完后觉得有用的小伙伴，请帮我点个赞吧（厚…​
就是我想问问土木工程考研真的劝退吗？,土木是传统工科，只要坚持下来，踏踏实实在行业内做，最后都会收货满满，虽然没有计算机具有时代科技感，但是传统工科永不过时。 以下是22土木各大院校复试线 [] [] [] 在选择目标院校的时候，有同学经常会问一些问题，比如：专硕哪些院校考英一数一呢？哪些院校的初试专业课考结构力学或材料力学呢？根据各大高校2022年硕士研究生招生简章，有些院校的专业课有变更，部同学可能面临重新择校的问题。为此，我们汇总了招收土木工程院校…​
法学考研择校选哪所好？,今天我不推荐你某一所法学考研的学校，我想教你一个考研择校的方法论，这样你就可以根据自己的情况选择出最适合你的院校，因为授之以鱼不如授之以渔。 做为一个三跨985、靠正确选择的上岸的过来人，其实想说，在择校之前，你首先要想清楚一个问题，那就是：你读研的目的和对未来的规划到底是什么。 就算你是找机构帮忙选择考研学校，人家也会先对你做个了解，让回答这个问题。因为你对这个问题的答案，决定了两个不同的择校方向…​
考研特殊教育哪个学校好？,学长作为考研过来人给你一些建议。 建议大家可以都看看此文，相信会对大家考研择校时有一定的帮助！ 22 考研国家线刷新了我们的认知，网上高遍地走，考研已经卷的我们麻木了。23 考研人数直逼 500 万，竞争只会更加惨烈，现在要想顺利上岸，绝不是光凭曾经的努力就可以了！ 在考研如此竞争的情况下，为了不浪费一年的复习时间，我们一定要选一个适合自己目标的院校，同时避开那些黑名单院校，保证在择校上先人一步。 俗话说，…​
为什么考研数学回答清一色的“后悔晚见武忠祥”?,“后悔晚见武忠祥”确实是对武神的一大赞誉，他的课也非常nice，但是话又说回来，别的老师讲的其实也不差，只不过每个人基础水平不一样，宝子们和一众老师们的契合度难免有所不同。让我感触最深的一点就是 “后悔早见宇哥，强化阶段相遇刚刚好”...... 985研二在读，考研数一当时拿了131，网课顺序基础班全程汤神，强化班全程武忠祥+张宇（前者为主后者为辅），张宇的挑重点章节看的，冲刺阶段更多的在于刷题，网课倒不是那么举…​
考研和高考哪个难？,我花很长时间把知乎上高考和考研的帖子都看了一遍，内容虽然都很优秀，但是过于零碎，缺乏总结，所以我结合了自己的亲身经验，力图将高考和考研的区别全部列出，一定把高考和考研的问题帮大家讲清楚、讲透彻，并且不做出最后结论以免影响大家判断。 最后只要大家觉得有用 点个收藏的同时请点个赞就好(⁎⁍̴̛ᴗ⁍̴̛⁎)另外，如果大家想要考研，却又担心考研存在的巨大信息差，使得学习十迷茫，备考规划很差，资料查找不全，…​
考研成绩出来再准备复试吗?,读研之后，每年复试阶段我还得帮导师 “打下手”，取取文件做做记录，还有幸见到“师弟们”当时的青涩表现，聚会之余，不禁让课题组同门一阵感慨。不站在上帝视角不知道，原来复试还有这么多“心机+小九九”。如果你是本校生，并且 “意向的硕导”你在本科就认识，通过师兄/师姐/老师/学校内部宣传等途径，已经把复试部细节摸清楚，那么你完全可以按照自己的节奏去走，可以等出，部学校老师会“提前透底”，如果今年你过了…​
考研政治需要买什么书？,答主4 个月冲刺政治 80 ，真心觉得考研政治是性价比超高的一门！可以说是考研科目中花费时间最少，听网课投入产出比最高的一门。答主从 4 月份准备考研英语投入了大量时间和精力，9 月才准备考研政治，结果英语 82，政治 80，只差 2 ，可见政治投入产出比有多高！！！而且政治复习的时间都是专业课学累了的时候，作为休息调剂的科目。所以现在还没有开始政治的小伙伴不要慌，一切都来得及。考研也是一场信息战，空闲时间多去…​
跨考历史学研究生值不值得？,说到底还是考研选专业的问题。考研貌似有很多专业可以选，但仔细析后会发现： 每个人可以选的其实并不多。 就像报考公务员，几千个职位，筛筛选选，最后发现自己能报名的大概几个而已。 在讲跨专业的专业如何选之前（好绕），要补充一个常识，就是考研为 13 大学科门类，它们别是： 01 哲学；02 经济学；03 法学；04 教育学；05 文学；06 历史学；07 理学；08 工学；09 农学；10 医学；11 军事学；12 管理学；13 艺术学 在…​
毕业一年辞职考研，结果考研失败，现在找工作也找不到，感觉自己一无是处了，该怎么办？,1. 其实考研失败没有什么，大多数人都会失败的。说起来考研失败，我也是其中的失败者。 我们懂得很多道理，但是依然过不好自己的一生， 未受他人苦 莫劝他人善 人生皆不易 你我当慎言.其实说起来走出来容易，但是真的事情落到自己身上的时候，你才会感觉事情不是那么轻飘飘的几句话能过去的。 [] 我说一下我自己的考研失败的感受吧，以及自己考研后的一些反思： 一方面：去年2020年9月份因为工作变动，公司上班距离家变远了； 另一个…​
活着和读研哪个重要？,我不能安慰你，那是对你的侮辱，因为你20+了，不能把你当小孩子看了。 所以即便你把自己说的如此悲壮了，我依然要“打击”你。这事和外界有什么关系？纯粹怪个人，你只是强行把自己的迷茫怪罪到社会(舆论导向)。 即便是985211，本科就业的比例依然不少，他们中的好多人根本没这么多婆婆妈妈，不想读书了那就去工作，反正任何选择都是有利有弊的，坚持自己的选择就OK，就这么简单。甚至连这些也不想，本科毕业，找工作，对他们来…​
请问有毕业后边工作边考研的想法现实吗？,先说结论：非常现实，我自己就亲身实验一把。 [] 去年（2020年）我自己亲自实验了一把！花了不到3个月左右的时间，在工作五年之后脑袋一热参加了一次考研。考了小400，这个数和我当时理想中差不多。 虽然我没上岸成功，但是多少有点参考吧，说说自己整个考研心路历程。 [] 我是在2020年9月15号，然后工作有点变动我就动了考研的心思，然后在评估了15天这个事情能不能考，毕竟所剩的时间比较少，最后从10月1号国庆节期间才把要考的科…​
考研二战是否真的必要？,我从来不无脑鼓励别人二战，和一战相比，二战需要考虑的东西实在是太多太多。 你可能看过很多什么二战高上岸甚至是三战四战上岸的“励志”故事，的确这些确实存在， 但你有没有想过，这些只是成功的，那更多的那些没有成功的，你看到了吗？没有，你并没有看到。 鸡汤虽然好喝，但请认清现实，不是每个人都能逆袭的。既然二战了，那就一定不能把一战踩过的坑再踩一遍！想要知道 如何判断目标院校是否保护一志愿？想要知道如何获…​
毕业一年，我应该继续工作还是回家考公?,我是那个选择继续工作的。 16年211本，19年985硕，现在在外企总包58w左右。 前段时间离了婚，在一线城市心灰意冷，父母也劝我回家工作，进体制。 我查了一下，以我专业没办法以人才引进进合适的单位，除非放弃人才引进，但那少了特别多钱，我觉得无法接受，因为有个同届同学人才引进回了市里医院，人才引进三年额外到手估计有40W。 现在也想通了，以我一个小镇做题家，没有资源没有背景，能趁着赚钱的时候多赚点，就已经是最好的…​
为什么越来越多的研究生感觉读研很痛苦？,千辛万苦上了岸，上岸后的生活与自己设想的差距太大，就感觉读研很痛苦。比如： 导师选得不合适，与导师沟通不畅（或不为导师所喜），痛苦； 写论文，发文章都有要求，用尽力气难完成，痛苦； 课程多，任务重，理科生做实验，文科生读文献，痛苦； 面临延期毕业，痛苦； 能正常毕业，找工作却不顺利，痛苦…… 每个人情况不同，感觉到的痛苦和对痛苦的承受能力也不同。虽说搞科研搞学习搞论文有时确实很痛苦，但苦中也有乐啊。 …​
考研二战失败我应该是考公还是出国读研？,总的来说，这个问题需要解决的矛盾主要有两点： 哪个上好学校的概率更大？ 时间成本哪个更划算？本人就是考研失败了出的国，结合我自己的经历展开说下： 先说上岸性价比在 院校背景+GPA还OK的情况下（当然背景很差的，均二点几的这种，不太建议去留学，除非你能接受自己能够申请到的学校比自己预期中的院校，甚至自己的本科院校认可度还低的。）留学的试错空间更大，而且向下兼容的性价比更高。 第一，留学的录取标准相对比较松…​
成为研究生后你都明白了什么?,对于即将读研的宝子，相信你们此刻心里还是很憧憬的， 胸怀壮志，等着到学校大展身手。对于正在读研的宝子，相信你们已经体会过各种酸甜苦辣，莫放弃莫躺平，其实眼前的困难都是”有效解“，只不过暂时被环境”障住“而已，坚持走下去，拨开云雾见青天，未来必定是一路繁花。 花费两天时间，总结并撰写出如下读研心得，阅毕，相信各位必定大有收获，成果水准两不误，论文发发发！为了保证 清晰性+条理性，以下干货会按照研一/研…​
考研期间你明白了什么道理？,这篇回答我用词略严厉，希望能“骂”醒一些考研人。我不想去扒那些人性的阴暗面，只说一些 能提高复习效果的人性弱点。这个周末用了2天的时间，系统总结了下：考研期间你明白了什么道理？ 我@鹿十七 从瞎、假、贪、粗、疑、坑6个维度，几十个角度详细给你剖析一下考研备考时人性的弱点，并给出最干的复习建议，提前知道考研时这些人性的弱点和需要避开的坑，提前规避，这样你复习起来才能事半功倍。全文1.2字，阅读只要15钟，但…​
考研真的比高考简单么?,作为一个考研博主，老实说我觉得考研和高考的难度其实不具有可比性。 如果是高考，我觉得我大概率是考不上中大的，而考研我就考上了。 但，这就能说明考研比高考简单了？倒也未必。 先看几个客观事实： 试题难度从试题难度上看，高考是远远难于考研的。高考的考试内容无论是从知识涵盖面还是科目数量来说都远多于考研，高考六科—语数外文理综，而大多数研究生考试往往只有四门课，甚至三门，从知识体系来看，高考的更庞杂，这点…​
考研的最后一个月，你的心态是怎么样的？,考前的最后一个月完全可以说是我备考中最重要的一个月。当时备考到了11月底的时候，我没幻想自己能比之前都刻苦。 什么“最后一个月猛猛冲刺，然后有了质的飞跃最后上岸”的事情在我身上发上的概率真的就微乎其微，要是有这个劲头我早就玩儿命学了，还用等到现在？ 我就是那种最普通的，硬咬着牙坚持到了现在，有过集中精力一口气学4个小时，也有过学不进去玩了很久手机的那种考生。 虽然我的复习质量可以说并没有多好，但我知道…​
考研失败想要二战怎么从绝望中走出来？,考研想要 二战顺利上岸，心态必须为王！！！很多考生失利都是因为 心态问题，而且二战生比一战考生面临更多方面的考验，二战不等于一战再来一遍，更加需要调节心态、稳定心态。一战失败并不可怕，二战上岸的概率会更大，二战考生不仅有基础，而且能有更明确的目标，在对待考研这件事上更加认真，努力终究会有回报的，你一定会上岸，会获得这份属于你的胜利荣誉。 考研失败后感觉绝望，这是正常的，自己努力了一年最后却没有取得…​
考研期间你明白了什么道理？,记录，是复盘的过程，复盘，是改变的开始，读研之后我依然保持每天写日记的习惯。但记录的内容更多的偏向于 【当日科研进展/复盘】+【明日任务安排】，路走多了，坑踩多了，你才能更好的总结经验，去完成考研的一个又一个阶段。以上所提到的内容，属于绝大多数人正常的 ”考研知识摄取“+”“考研经验原始积累”途径，我想做的事很大胆，用两天时间，站在考研与读研的“透视视角”，把我所有吃过的亏、走过的捷径、考研高的地…​
考研真的比高考简单么?,以一名研狗的身份，简单聊一聊。 （自己的经历和经验，整个考研过程，愿意一看，请往下） 我是18年考的研，经过断断续续九个月的复习，初试倒数第8，复试准备两天，上升了20多名，进了。 看着比起高考的几十本书来说，真的不难，但我认为也并不是光想就有的。 没人教没人带，一切都得靠自己。 刚结束不久的2020届考研日让我想起了大四时，曾经熬夜奋战的那段时光。 没有错，通过我的“苦苦挣扎”，我“顺利”成了一名研究生。关…​
考研二战需要什么样的勇气，二战备考需要注意些什么？,周国平在《只有一个人生》中说：「人应该具备两个觉悟：一是勇于从零开始，二是坦然于未完成。」对于犹豫是否决定二战的考生来说，这两个觉悟是难以瞬间做出选择，但是人生就是一个不断选择的过程。 其实考研二战不需要多大的勇气，自己想明白这 3 个问题就行了。 1、想清楚二战可能遇到的困难比如家庭的经济状况是否支持，父母可能会劝阻，自己心情在毕业时候的落差，二战能否找到努力的研友以及保持好的学习状态。 2、选择合…​
普通人考研失败是一种什么样的体验?,绝望、耻辱且不想见人、不想说话吧！我有过类似的经历，不是考研，但非常类似，我为此付出了非常多非常多的心血，最终考的很垃圾，我的第一感觉是绝望且耻辱，我只想自己静静，不想见任何人不想和任何人说话。二战的小伙伴在第一次考研失败后应该能够理解我的说的感受。考研很现实，先把初试数提高，再去谈其他的，数就是第一位的。考研失败的原因千千万，在我看来，最重要的一个原因就是没有用心，可能说出来很扎心，但这是…​
男朋友考研三战失败，我该不该和他手？,看了题目描述，有点感慨——知乎不该是声讨和宣泄，更应该是析和帮助。我知道骂题主一定会有人赞，但我更希望我的析能帮助到题主。这也是我留在知乎最后一点执念。 有些人的才能，就是做别人的太阳，就是在人生最好的岁月里，毫无保留地呵护照料另一个人，让她或他走出自身的阴霾，真正变成一个更好的人。 有些人的才能，就不是做自己的巨人，就不是在人生最好的岁月里，在考场上挥斥方遒，在面试时谈笑自如，成为社会世俗标…​
怎么样才会考研失败？,不要只因一次失败，就放弃你原来决心想达到的目的。况且你还没失败，只是看了所谓的“经验贴”。每年考研人数几百万，你怎么敢保证上岸的没你一个？ 本科二本，一战上岸985，其实考研期间我有时也经常胡思乱想，无外乎就是那点事儿：本科院校一般，复试会不会歧视；现在的模考数和预期相差太大，万一考不上怎么办？要不要换学校？考上了，我要怎样怎样巴拉巴拉一大堆。事实证明， 当时想的一点也没有用，现实和理想预期会有大…​
考研失败想要二战怎么从绝望中走出来？,考研想要 二战顺利上岸，心态必须为王！！！很多考生失利都是因为 心态问题，而且二战生比一战考生面临更多方面的考验，二战不等于一战再来一遍，更加需要调节心态、稳定心态。一战失败并不可怕，二战上岸的概率会更大，二战考生不仅有基础，而且能有更明确的目标，在对待考研这件事上更加认真，努力终究会有回报的，你一定会上岸，会获得这份属于你的胜利荣誉。 考研失败后感觉绝望，这是正常的，自己努力了一年最后却没有取得…​
考研失败想要二战是专心脱产二战还是先找份工作边工作边二战？,我17年的时候也是考研失败了，同样家里条件也不好，和家里说过想二战的想法，不过父母都沉默不说话，我就知道这条路不行，虽然我知道读了研能力会提升很多，之后的机会也多很多，但是实在是张不开嘴了，然后就直接开始北漂了，转眼已经过去快5年了。 18年中旬因为裸辞，中间有段时间是空闲的，我想过二战的问题，复习资料都买了（也就两百多块），但是这时候家里又出了点状况，我父亲身体不好住院，我在北邮自习室复习了几天还是…​
男朋友考研三战失败，我该不该和他手？,看到各位答主嘲讽题主，你们真的看人家的问题描述了吗？或者看完了依然认为女生“势利眼”？ 看看女生对男友的描述: 他儿时是一个有些许聪慧，但骄傲自大的小孩。认为自己只需稍稍努力就能很容易超过别人，就像龟兔赛跑里的兔子。中学时也未好好努力学习，上了一个普通本科。他心里一直非常重视读书，认为自己必须通过考研这条路实现自我价值。心气很高，非名校不考。但现实却很打脸，成绩一年比一年差，而且低的离谱。这三年他…​
本科北航，跨考五道口金融二战失败，我的未来在哪里？,继续升学。 你没得选，今年就业已经雪崩了，你没应届，没硕士，还没工作经历，找不到好工作，哪怕随便找到也基本没有发展前景，大概率试用期被裁，沦为经济危机的牺牲品。 降低目标三战和雅思同时准备，留学保底。既然考五道口了，家境大概率不差，留学撑得起。 千万不要草率就业（万一再在垃圾工作耽搁一两年，你就真的没机会了），你现在已经到了人生的关键口。抓住时间升学，关键在于应届生身份、硕士学位、年龄、实习。这些…​
日本研究生考修士失败，如何应对？,哥们，我比你还惨，我是在日本读完语言学校读的本科，然后考上了神户的经济修士，然后在最后入学手续的时候我记错时间了然后没学上了。你现在还有缓冲期，还能考后期，我当时大学已经毕业还有一个月签证就作废了但是还是救回来了。 那时候我的心态都不是崩了，基本就是个废人了，要不是当时我有女朋友陪我基本就是撑不住直接送走。但是人还是得打起精神来，前一个月非常难熬，但是随着时间推移慢慢能走出来。 签证我教你，你找大…​
25岁二战考研失败，该怎么走出失败？,这个我比较有经验，大四时考过一次研，冲专业数一数二的某所著名985，当时学业繁忙，再加上闭门造车不得要领，自然失败了。 毕业后不甘心，继续二战，在学校附近租个房子，没日没夜复习，英语一政治都考得不错，专业课出题简单拉不开距离，数学一考得一塌糊涂，我承认自己真的不是学数学的料，真的很难理解知识点，只能够做些常规的题目，稍难一点就寄了。 二月份出成绩后，曾陷入一段时间的低谷，母亲对我不满，我也知道自己是…​
2024考研该怎么选专业和学校?,可以先确定考什么专业，再选择目标院校。不同高校的专业实力不同，就业时的社会受欢迎程度恐怕也不同，学校专业不强也可能就没有多大就业优势。选择学校时个人觉得主要看专业排名专业实力，学校所处的城市或地区是次要因素。 一、如何确定考研专业考研专业的选择一般会考虑这三个： 自己的本科专业、自己喜欢的专业和就业前景好的专业。本科专业最熟悉，报考限制更少（有的学校不允许 同等学力跨专业），复习起来得心应手；喜欢…​
23机械考研有哪些院校可以推荐?,学长作为考研过来人给你一些建议。 建议大家可以都看看此文，相信会对大家考研择校时有一定的帮助！ 22 考研国家线刷新了我们的认知，网上高遍地走，考研已经卷的我们麻木了。23 考研人数直逼 500 万，竞争只会更加惨烈，现在要想顺利上岸，绝不是光凭曾经的努力就可以了！ 在考研如此竞争的情况下，为了不浪费一年的复习时间，我们一定要选一个适合自己目标的院校，同时避开那些黑名单院校，保证在择校上先人一步。 俗话说，…​
23考研党，考研英语看视频，哪个老师的好？,资料在精不在多 ，考研英语用到的纸质资料：一本单词书 + 英语 1 英语 2 历年真题。对，就这么简单，但这些就够咱搞上一年的。 我本科普通二本 ，CET-4 考了两次，别是 380、440 左右。大三下学期顺便考了 CTE-6，一次过（but 只有 427 ）。大一和大二连续两年英语挂科，所以我的英语基础应该处于下游水平。考研一志愿南京大学，英语二 82 。 阅读说明： 这个数跟 90 多的大佬没法比，但是对于我的基础来说，出来数…​
