content,topic
每次回家真的感慨越长大越发现差距是如此大无论是城市与城市之间还是人与人之间朋友亲人越长大越面临着很多的问题朋友们都渐渐地有了另一半回来都是很少约了的那种其实还没到那个年纪却是在讨论未来说长不长说短不短也只有那么两年的时间很多同学在人生的岔路口有些人开始实习走向社会有些人像我还在正常的被保护着在校园里享受着单纯而美好不愿意离开舒适区回来聊天亦亲人亦朋友我们的命运如此像有着理想想逃离这的生活想安静的度过真的怕了怕有一天会失去父母如果有一天失去了也许这个城市彻底的失去了留下来的理由时间好快回来一个星期了一个人呆了一个星期了不知不觉度过了虽然姐姐不在家但是哥哥还是没有和我一起住这或许就是兄妹吧如果没有父母在我们可能永远都不会有联系这也许就是我们这样的兄妹吧不甘心缺失什么就越想得到什么想着以后能有一个很有爱的家庭在校园里好像永远忘了自己父母是干什么的是做什么工作的回来总是会有人提醒我很不喜欢这种提醒却也是不得不告诫自己的一个存在没有能力想快点长大突然不想了希望以后通过自己的努力再去不想辛苦爸爸了后来才发现每个人都有自己的生活朋友渐渐地也只是最最亲密的了普通朋友真的有时候约都不想约的那种了哎一切都在逼着成长长大…………,
//@目标是在我财过好这两年:去年不对前年一起的朋友雅思经验贴有需要的来看～央财的小姐姐超优秀！,
22个《》，我已经在坚持了11天。,
1.18有点想念你，小声的念出你的名字，我的少年范丞丞打卡的第七天晚安@范丞丞Adam0616,
我在#2018我的小世界#喜提逢考必过，2019年，你将逢考必过。、高考、四六级，统统被你踩脚底。参与#2018我的小世界#话题词分享，有机会赢iPhoneXS、applewatch还有便携打印机等新年礼物哦！赶快开启我的小世界吧,2018我的小世界
初中同学:你考的什么专业我:社会保障初中同学:什么专业？没听说过我:嗯，这个专业比较冷门初中同学:这个专业干嘛的呢？我:这个啊，那个嘛，这个，那个（完全解释不清楚）初中同学:???（卧槽，我的自己的理论功底真的好差）,
#刺猬大学成长计划#@刺猬大学@保洁招聘在备考的过程中读过段淳林教授的《整合品牌传播》，今天听了保洁电子商务副总裁所做的分享，其中一些例子实则是教材的实践，比如利用大数据技术深刻洞察消费者需求，从价值观出发寻求与消费者的共鸣，针对消费者年轻化和特殊群体（二次元、留守儿童）开展针对性营销，真的在互联网时代很实用。,刺猬大学成长计划
打卡，所有的付出都应得到拥有的回报！300个《》，我已经在坚持了144天。,
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@鱼未来耶:哈哈哈哈哈哈哈//@英式没品笑话百科:哈哈//@青琦有吾：你的id结合起来哈哈哈哈哈哈哈哈哈哈哈哈哈哈妈鸭笑死我了//@艹烎：姑娘咱回家吧不了//@挂六科的仙女要_：我还是看不懂  能不能换成西瓜,
2063天,
###2020#出中传广播电视学全套资料和红宝书，详情私聊,",2020"
对于同济的教材没必要看的很详细，一本汤神的复习全书就够够的了，剩下的就是刷视频，刷1000题，还有真题,
我外科不得挂我要我要去广州去中山去济南我要去过潇洒日子,
##Day23交作业交作业！数学零基础表示全程参考别人的作业..但还是还是自己思考了哒为了跟上课这两天一直在狂补高中数学..@数学曾芸芸二刷词汇5一半二刷计网总论2补回笔记date15的stage刷完今日任务完成98%！明天加油鸭@考虫萌酱,
"#章子怡谢娜#""你不天天想着自己怎么样变得更好，却想着你锦衣玉食的主子哪里不好，哪有这样的道理？""虽然有点记不清了，但大概是这样的道理。娜姐传递的是正能量，夫妻恩爱，每天都开开心心，也给周围人带来开心，作为一个公众人物讲并没有错。如果作为一个粉丝，如果有喜欢的人，应是去尊重喜欢的人所喜欢的东西吧，比如她的爱人，比如她的孩子，比如她爱的一切事物，再比如，你最喜欢的她的性格。这也是我最希望自己拥有的性格，最羡慕的品质。粉一个人大概是因为她就是你想成为的样子，或者身上有你羡慕的品质。我羡慕娜姐的天天开心，羡慕何老师的处事稳妥，羡慕奶岐的努力与能力，所以请一定不要丢掉！人生是活给自己看的，可能娜姐没有何老师的处理圆润，但娜姐又不是何老师，她有她的真性情，有她的爱与恨，有她的自我，这是我粉娜姐的原因。这只是我粉娜姐的原因，也愿各位可以尊重或者谅解一下娜姐:)那是她爱的人呀，无论在谁的心中，最爱的人总是第一位没毛病呀，如果有谁想要触碰议论都会下意识的想反驳吧。相对来说，粉丝哪有张杰对于谢娜更重要呢。明侦十一案全程追√妻子的浪漫旅行√(娜姐控场很棒，也有很多发人深省的话)快乐大本营老粉√(虽然可能近几年没有看，但那是我高中的寄托)(作为一个隐藏粉试图用小号去为娜姐顶一顶，如果我的回复能给你一点力量就好啦^_^因为你曾经给我很多力量，偶尔也想回报一点点，希望能帮得上就好啦，当然太阳女神一定可以的，莫得问题！)@谢娜",章子怡 谢娜
我免费围观了@石雷鹏老师的回答，问题价值16.00元，快来一起免费围观~O微博问答,
这【18部高分中国历史纪录片】与、考公务员相关，看完你会理解的更透彻~快收藏起来！,
//@圈:这【18部高分中国历史纪录片】与、考公务员相关，看完你会理解的更透彻~快收藏起来！,
55个《》，我已经在坚持了49天。,
今天是靠止痛片续命的一天吃了一份虾仁炒面然后全吐了然后喝了一桶牛奶还不错明天晚上可以回家了吗？书好贵我死了,
33个《》，我已经在坚持了125天。,
56个《》，我已经在坚持了69天。,
你知道人类最大的武器是什么吗？是豁出去的决心。#Everyday日精进#,Everyday日精进
#Everyday日精进#今天被好朋友问到她该不该，说了很多理由和纠结，其实我跟她分享我之前学习的感受，真的就是归根结底没有豁出去的决心，害怕做了却失败，不敢面对未完成,Everyday日精进
101个《》，我已经在坚持了45天。1.14,
和优秀的男朋友在一起是什么感觉？我的男朋友博士毕业后就在某知名外企工作，年薪二百万波动吧。身高一八三，和郑智薰的身材差不多。他爸爸是某大学任教的老教授，妈妈是医生，家住某一线城市。每天下班后必健身，没时间健身就小跑下班。常常强制要求我一起运动，早睡早起。一开始我极其痛哭，后来习惯了反而每天都会感到精力充沛。业余爱好摄影，只要我们双方假期重合必定拉我出门旅行，拍拍风景拍拍我。平时决不允许我吃垃圾食品，一般都要求我在家吃饭，上班的话会给我准备便当，我吃的食物里面蔬菜水果居多，所以皮肤还挺好的。我和他在一起的时候他还是研究生，我本科毕业就打算工作了，他一直游说我要多念书。我说我们家没办法一直供我上学，而且我还很笨。他就说读书遇到的困难都归他解决，我安心读书就行。每次我看书看得抓狂崩溃的时候，他就会鼓励我，跟我一起总结知识点。尤其高数，基本都是他全程指导我，深入浅出真的帮了我大忙。现在我是硕博连读，还要两年才毕业。我很喜欢画画，前几年备考的时候他就跟我说去上个正经的油画培训。我怕耽误学习，他说不会，正好打发掉闷头学习的枯燥。这几年一直在坚持，也画得有模有样了。我爸妈对我总是絮絮叨叨挑三拣四，在我男朋友面前总是尽力表现得很和蔼，聊天都是微笑加点头，很多大事情还总喜欢找他商量一番。我们极少吵架，平时小斗嘴还是有的，互相损一损。遇到大分歧的时候，会在当下就谈妥，不隔夜。他说两个人在一起，沟通太重要了，什么矛盾都不能发展成为我们关系里的“沟”，一定要“通”了才行。我们在这个世界上相依为命互相取暖，互相为了对方成为更加优秀的人。当然人无完人，我的男朋友他自然也有缺点，他最致命的缺点就是没让我遇见他，前面都是我瞎编的。作者：Anie来源：知乎,
啊，老狗加画画狗表示，备考期间学油画那里就看出来是假的了。。。备考期间学油画？不仅边备考还能掌握一项并不轻松甚至会带来负担的技能？我看你智商更高。//@贫僧来超度你吧:？？？？？？？？,
有件事千万不要做，劝人,
67个《》，我已经在坚持了52天。,
【大冰小将彩蛋时间】大冰小将移动演唱会又上线！这次我们大冰小将队金牌经理人@TFBOYS-易烊千玺直接领唱《大梦想家》孩子们跟随合唱的画面也太有爱了吧！将酱感觉到大家都要成“柠檬精”了那就跟着#大冰小将#一起云合唱吧，四舍五入也就等于是和千玺哥哥合唱啦L浙江卫视大冰小将的秒拍视频,大冰小将
要是千玺大声喊我名字了，别说写作业了，就是叫我去，去读博都不是事//@大冰小将李安逸:收到一堆的消息要魂穿我，穿吧，穿吧，记得帮我把寒假作业做完…………,
112个《》，我已经在坚持了43天。,
昨日做梦梦到惨兮兮一定上岸！,
112个《》，我已经在坚持了14天。,
真要分手其实我还是挺舍不得的，应该是我最长的一段吧，他对我的好我也都看在眼里，吃饭不会让我结账，难过的时候会给我买口红，生病的时候会抛下手里的东西来陪我。但是可能真的缘分不到，当你知道我喜欢周杰伦十一年的时候，你说你希望他被封杀，当我说什么你都要跟我杠证明你比我强，当你控制欲太强，连一大帮朋友聚餐都不能有男生的时候，当我们吵架，你从来没有跟我低过头，而我的性格就是这样，喜欢独立自由，就连旅游都是说走就走，没有被谁摆布过，我也没想过会结婚，至少在自己没有能力让自己让父母过的更好之前，而你不断的跟我说结婚，也让我觉得这段感情的压力好大。我现在也不知道自己该怎么办，你跟别的女生出去，我不会吃醋，如果你没有准备情人节礼物，我也不会有失落感，这应该就是不爱了，但是我想想你之前对我的好，我真没办法把分手两个字说出来，好纠结，，，不过我还是希望你能有一个理想的成绩，也希望自己可以拿到法国的研究生直入offer,
2020昨天and今天今天睡到快12点才起床，为什么在家怎么睡都不够，上辈子真的是只🐷吧路过的同学请骂醒我吧，作为一个快要的人怎么可以那么懒惰，不思进取,
132个《》，我已经在坚持了12天。,
2020距󾠰️󾠰️󾠮️天今天起床特别早然后做了一个水果沙拉下午我哥买了打印机就一直在跟电脑适配晚上才真正投入到学习的怀抱中,
我关注了超话，小伙伴们快来加入超话一起聊聊吧~戳这里→http://t.cn/z82jMCe,
第一次，走出考场的时候心里其实已经模模糊糊有了答案，但是仍然还有一丝丝的希望，万一考的比预期的好呢？万一法大分数线会降呢？直到出成绩的那一刻，一切都尘埃落定，我拿着手机，发了很久很久的呆，那种心情我一辈子都忘不了，亦如我现在的心情,
赢了也必胜,
私信我地址嗷差点忘了这一条//@Circlecy·:我想要！混油皮！之前大半年没化妆感觉我的粉底液沉淀分离之后就不好用了真的是令人心碎,
我希望我能快一点长大快一点快一点工作快一点挣钱。,
我觉得这个问题毫无意义。读研成功并对自己就业的满意度便可以作为简单的量化。如果这个问题成立的话，那还不如问读书的可能还不如不接受教育的人，那么读书还值吗？国民不接受教育整体文化素质到最后细思极恐吧。况且科技这么迅猛的发展，我认为未来想要在这个社会中生活只有两条路，其一为富二代，其二必然是刻苦读书，否则可能会生存，但生活怕是不太可能。读研只是去深造自己，学的高看到的是千姿百态的生活状态，没有值不值一说，都是因人而异吧。O研究生读完混得可能不如本科生，还值吗？,
studyaccount2021✅流利说打卡✅app✅读书✅肖秀荣政治第一章,
###成长#宿舍等越来越少我也快回家了中国队牛逼...滴...,",成长"
78个《》，我已经在坚持了46天。,
【倒计时335-338日】有点尴尬，考完浪荡了3天我的妇产复习时间从充裕变成紧张……算了，自己作的，怪谁不过这几天看了跳跃生命线，特别燃，虽然里面讲的是救护员的故事，可是也触动了我这个医学生的心，所以我要好好学习，为后面实习做准备，毕竟实习生就要上临床了好了，废话不多说，赶紧学习，今晚就要看四章的妇产了！,
67个《》，我已经在坚持了44天。,
卧槽卧槽我每次想起来打卡都在23:55_00:00之间，这是幸运还是不幸运#就要语众不同#@沪江网校day5词场和去年纸质大纲双管齐下，然后出现新墙头张彬彬???,就要语众不同
saygoodnight～分享一位过程中最爱的老师，没有之一！今天涛涛在上海和唐叔一起举行了旺仔见面会，身为头号旺仔女孩，超级羡慕能到场的人。真的很想亲眼见到涛涛！嗯，一定要每天努力，做出色的旺仔女孩，然后，去见到你！[玫瑰][玫瑰]晚安大家～政治徐涛#政治徐涛#,政治徐涛
很喜欢#喜马拉雅#上晓艳的节目《19词汇学习第1天》，快来听一听吧!K19词汇学习第1天（分享自@喜马拉雅FM）,喜马拉雅
##刚拿到讲义今天，吃完饭又刷了遍课，把没有跟上的补充上了，而且还纠正了一些当时记错的。老师讲的方式很好，自己也很喜欢。只不过基础有些薄弱，后边没有跟上，多刷回放多看几遍，勤能补拙是良训，一定不能落下了！加油！@考虫萌酱@石雷鹏老师,
133个《》，我已经在坚持了63天。,
好像一挨枕头就睡的睡眠永远定格在了期间现在又回到了原先就是睡眠质量超不好,
2018给于我很多，也给诸多遗憾。2019最重要的是开心，开心愿我的付出都有回报，冲鸭！,
#网易娱乐有礼#送你#东方卫视春晚#现场录制门票啦！#2019猪事皆宜##东方卫视春晚阵容#据说番茄台今年邀请到不少新老朋友和大家共度新年哦！[米奇比心]录制时间：1月21日暂定上午10：00开始录制[米奇比心]录制地点：上海宝山体育馆[米奇比心]参与方式：关@网易娱乐频道+转评此博并艾特一位好友即可后天（1月20日）微博平台开奖！速速转起注：1、现场取票2、内场不可携带照相机拍照@东方卫视春晚@东方卫视番茄台,"网易娱乐有礼,东方卫视春晚,2019猪事皆宜,东方卫视春晚阵容"
@景瑜的宝宝玥要啦啊啊啊我又来了…再来一条拉高中奖率…真的我超乖超听话也超方便过去的…最重要的是超爱@网易娱乐频道超爱番番@东方卫视春晚@东方卫视番茄台超超超超超超超爱二爷@小辫儿张云雷我的心头肉啊啊啊啊…想去见你❤️,
#19不认命#成功,19不认命
西综请19的前辈们指导一下我这个20的学渣吧,
Day-22｜☁️｜倒计时339-2✔️田静语法一节1.5h✔️长难句每日一句✔️墨墨-50✔️翻译0.5h📩①无...第②②次晚安🌙studyaccountstudywithme,
【划重点！英语翻译90组常考词组】满满的都是翻译中的得分点啊！码住自用或分享给身边的小伙伴吧~,
//@圈:【划重点！英语翻译90组常考词组】满满的都是翻译中的得分点啊！码住自用或分享给身边的小伙伴吧~,
突然想起美艳跟我说的，如果想做一件事，要么就不要开始，要么做了就下决心一定要做到它。我想比起时候的自己，我还是远远不够的。,
260个《》，我已经在坚持了208天。,
我正在#英语流利说#闯关修炼，我为你翻山越岭，却无心看风景，练了这么久容易嘛。来听听我的口语吧。英语小作文：(@英语流利说),英语流利说
今天突然觉得有点孤独，其实也没有，可能就是觉得对过去的人留着的太少了吧大概从坚定的离开家乡再也不回去就开始了朋友走到哪儿交到哪儿离开后只留几个，其他人就再也没关系了比如初中同学，高中同学，一共除了留下的那六七个，其他淡的不愿意主动联系了，可能因为知道联系了也没有用，离得太远了啊留下的交心聊天旅游瞎侃但是也不敢依赖了我知道我不会回去她们也不会和我生活的很近我知道我需要的时候没有老友会出现所以我不停的在变动的环境里找更多合适的人我天生适合交友走心，也总能找到相处合适的人但是因为太走心，所以总是很难过，离开时难过，生病时难过，开心时也难过。要是喜欢的朋友们都能天天在一起就好了，以后生活的很近就好啦，但我也知道不可能了啊，所以难过。前几天小可爱还在劝我去长沙，我又不敢动摇怕丧失了那一点点点点的可能性，又觉得我其实没有那么喜欢江浙沪了，那些湿冷又傲慢的城市，要是你不来我就走了，到处漂泊找个更喜欢的城市定居想了想大学都没多久就要毕业了要离开小可爱都觉得超难过，遇到能拽出去吃喝玩乐喝酒的人挺难的吧，尤其是这么沙雕的兄弟🌚深夜又逼逼逼今天过的不开心晚安,
45个《》，我已经在坚持了58天。,
40个《》，我已经在坚持了140天。,
深圳嘻嘻有无的前辈们，求带飞？,
66个《》，我已经在坚持了111天。,
100个《》，我已经在坚持了449天。,
80个《核心》，我已经在坚持了1天。##,","
65个《》，我已经在坚持了82天。,
307个《》，我已经在坚持了37天。,
//@新东方王江涛:O1月29日，22点前，转发本微博并关注@刘文涛老师和@新东方王江涛，5位孩纸获赠《十天搞定》（默写本）！@微博抽奖平台开奖。,
还没中奖？那就来第三波吧，转发本微博并@至少一位研友，1月28日晚抽1位同学送我的暑期数学集训营，抽5位同学送Dior999，抽10位同学送我年会戴的同款红围巾，具体看下图。好运送给你，新年就要红！所有实物奖品年前顺丰发出。已报备@微博抽奖平台,
怎么办，我在还是就业的天平上摆动,
政治腿姐今天回家，总站的麦当劳居然必须用现金？我没吃到，现在还在想甜筒,
2020扇贝打卡Day3今日离还有328天。前期每天花在数学起码八小时。嗯慢慢可以接近了。唉唉证券不知道什么时候才能拾起来,
45个《》，我已经在坚持了144天。,
258个《》，我已经在坚持了34天。又差一点,
如果你想克服懒惰心理如果你需要一个安静的学习环境如果你还在为的种种问题还发愁那就报班专心注吧希望能帮助到你！望采纳！O准备，是自学好还是报一个学习班好？,
112个《》，我已经在坚持了115天。,
👏“生活并不是要求我们格外优秀，只是要求我们全力以赴”🍀今天小姨妈回来了。🐾🐾🐾 (▼ヘ▼#)(一点丧和思考)还有今天不是很开心，是自己的原因吧，愿意接受批评。不知为什么，当家里只有我爸爸妈妈三个人时，我感觉可以过的很轻松，帮爸妈做各种事情也觉得应该的。可是当弟弟回来后，我就觉得自己变了，我会想为什么不让弟弟去做？弟弟读高中要学习，我还要呀？也许在他们心中并没有这个概念，又或许早就我心里扎下的一根她们更喜欢弟弟的小芽，而且一直在生长，可我都21了呀，怎么能这样想？我说过要对妈妈好的。有时候在家，让我觉得，我是在寄人篱下，我做各种家务来讨欢喜换来她们的一句真乖。我真的一点也不快乐。尽管爸爸问我快不快乐，我很多时候是不快乐的。并且，很早就似乎意识到，现在是因为自己没有经济独立，所以只能听他们的。我讨厌不纯粹的自己😞，尽管爸妈会说支持我的所有事，但我还是不敢相信，总是让我觉得背后空无一人，自己要学会勇敢。🌾🌾🌾💐相比timing上记录时间，我好像更习惯于蕃茄。每天规划好明天的任务，效率高很多。🍀我希望我的房间在一个小小的阁楼里，没人打扰，我就安安静静的看会儿书，做自己的喜欢的事,
📍英专学硕经验帖（一）🔗只关于英语语言文学专业：1.个人情况2.关于选择学校和专业3.关于什么时候开始准备4.关于政治5.关于二外6.关于基础英语7.关于综合英语8.关于一些参考书目和资料9.一些注意事项🔗从准备阶段到最后的复习阶段都有写到，希望给学弟学妹们指点迷津，少走弯路，节省时间。,
//@StudyAccount分享平台:【日常|分享】英专学硕经验#studyonline#,studyonline
『2019政治大纲原文(完整版)-中公网』,
112个《》，我已经在坚持了195天。,
@橙啦,
转发你会得到,
这个月最好的消息莫过于初试过了//@一支柠檬小贝:我又来了希望我妈这几天不要拉我去练车我老老实实在家里做科目一成吗[米奇大哭]//@休闲璐:过几天补考科目一🙏//@尸姐://@M大王叫我来巡山:每日迷信🙏🏻//@霸道大锤爱上我://@奥妹重症患者:Plz🙏,
11个《》，我已经在坚持了139天。,
这寒假吧，30几天，多的40几天，一眨眼的功夫。一开学就是计算机二级，教师资格证考试了。时间是最中看不中用的东西，越不用它就越没用。我那时候准备，觉得才寒假吧，早着呢，大把的时间。可时间真的...说的我想哭。年轻真好，觉得自己有很多时间的日子，真好。,
今天是正式准备的第九天，加油(ง•̀_•́)ง,
赢了！必胜！,
87个《》，我已经在坚持了36天。,
65个《》，我已经在坚持了143天。,
36个《》，我已经在坚持了1天我为什么喜欢《平凡的世界》呢因为深有体会我要翻身我要逃离,
@荷兰抖的抡吨音@zaxin_@zaxin的日记,
我滴麻麻真的选择性记忆一时叫我省点时间回家认真复习，一时问我还去面试签约不考公务员了吗,
1404.石膏考古玩具,
前前前任男友在我结束那天（圣诞节）给我送了这个，挖了一个半小时后我贼生气，然后砸了东西，给他发了十条骂人的短信，然后睡了。,
56个《》，我已经在坚持了18天。,
#19不认命#成功,19不认命
打卡Day6◎墨墨背◎高数复习昨天习题◎交论文报告今天小浪了一下，晚上回来还是把报告写好了给老师发过去了，感觉很愧疚吧还是有那么多不会的，在家也没有好好的敲代码在家不知道为啥就是感觉身边好多人包围的幸福感不能放弃打卡学习！！！坚持studyaccount2020,
33个《》，我已经在坚持了384天。,
#Everyday日精进#2019.1.18🤔反思☞今天把妈妈惹生气了，哄了很久才哄好，真的妈妈年纪越大也越来越像小孩子了。我也不对，对妈妈任性。☞法律专业课没有看完成☞整个书[噢耶]明日☞家教小孩摸底☞面试一家教育机构☞看法律专业课☞朱伟老师恋恋有词@小橘子Maruko@孔玮Vicky,Everyday日精进
2020Day4.距337天😋感觉学习效率还是很低🙃老是玩手机，不过比前两天好多了，加油加油。明天门诊后天休班，爽歪歪每天查完房就可以回来了，消化内蛮轻松的，没有换药，没有送病理，顶多跟着学长做个心电图红黄绿黑红黄绿棕黑紫，腰穿腹穿老师不可能敢让我们动手的，下下周去了心内估计天天看心电图，我还很辣鸡，希望这两天能把消化看完循环开个头。在科室最大的好处就是随时有一车病历让我们来研究，加深课本理解，不过我还不太会从大病历里面找重点😣。我觉得我们组的郭学长实在是太厉害了，什么都懂，而且温文尔雅总是照顾我们，最主要是他从不逃班，内科最后一个科室还跟他一组，开心！☀️食管癌+胰腺炎+肝癌,
一不小心就20岁奔三了🙊🙊🙊，许愿下半年实习顺利吖，也顺利通过🙏🙏🙏,
33个《》，我已经在坚持了20天。,
195个《》，我已经在坚持了42天。,
day5上课的时候听到老师说到再考公晋升会更快一些，我还真的有点心动了。如果成功那会是最美好的结果。如果失败可能再也不知道如何走好这条路了。再回头想想这真的是我最想要的吗？这真的是我的理想吗？这些不过都是他人的指导罢了，那么我最想要实现的是什么呢？安稳的生活平淡的幸福吧，可又能通过什么道路到达呢？日常深夜迷茫发问过后还是会想着该做什么就做什么……见到Sam好久没发的自拍，很陌生，很模糊，隔的时空太远太久了，曾经的小太阳早已远去。这样也好，远远的望着，只愿你快乐，愿你一直是那个意气风发的少年。或许，少了些许涟漪的我开始逐渐淡忘了吧，忘了也好，即使很难再装下一个人在漏了一拍的内心，我也愿意一直为他留着一个位置……永远不要说永远，似乎一直比永远更有可能实现,
忙碌且有压力的日子才快乐。翻译完几万字的英文伦理学著作交上。还有修改完一些稿件校完慧儿的小说。那么希望我的公众号早点开回看去年的题，其实那个分数也算交代吧，满足就好,
355个《》，我已经在坚持了9天。,
202020190116打卡🐾距离D339🍀看书会让我很开心，哪怕只有几页⏩100词⏩《社会学的想象力》10页（值班的时候断断续续看的）⏩社科研究网课的练习70道题（拖了好久终于做了）🌟9：00-17：00在中心值班～下午的活动超棒的🙈遇见了几个很nice的小哥哥小姐姐，来自不同行业不同思维的碰撞🌟晚上跟群里的小姐姐聊了好多哇🙈一起加油吧🌟打卡群里讨论以后每天晚上打卡发第二天计划计划我就不发这里了哈哈哈～总结打卡依旧,
孟鹤堂孟哥这么美丽善良必须吹一波彩虹屁去年的时候入的坑，11月份吧，那时候压力巨大，正巧B站推荐，就一下掉进了德云社的坑，尤其是孟哥，期间真的是我的精神食粮了，难过的时候看看孟哥的相声就好很多了。其实一早就听相声，但都是泛泛的听，是是因为孟哥，因为德云社才真正了解相声。恨自己入坑太晚，但又觉得自己很幸运喜欢上了一个这么可爱善良的小孟仙儿PS：我的专业课成绩出来了，多亏小孟仙儿保佑成绩还不错他怎么这么好看善良美丽可爱迷人呢！！（图一忘了抱的谁家的图，侵删！）,
我哥同意我了我又退却了,
34个《》，我已经在坚持了160天。,
2019.1.13距离343天已经打卡120天学习内容如下💓不要长痘求求你,
104个《》，我已经在坚持了54天。,
祝我的小仙女们2019幸福快乐健康美丽早日脱单成功考试周结束明天回家一个学期结束了下一个学期还会远吗,
//@第一站:#第一站#【政治寒假复习重点提要】寒假说长不长，说短也不短。在备考初期，对于复习来说没有那么大的压力，所以不要求在假期将所有的知识全部了然于胸。但对于一些知识点繁杂、内容多的科目，例如政治来说，一定要有个自己的规划，前期的积累可是必须要做的哦,第一站
农业管理㊗️大家六一儿童节快乐！,
投稿问一下暑假有没有留校一起的小伙伴可以一起互相激励啊啊啊啊啊啊啊本人考的新传，如果有可以在评论区留言我去私信！！！！还有想问下暑假留校图书馆有每天都开吗都开到晚上吗,
